airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
LIT,29,9,20,55,0,1,41,3,6,7,32
LMT,2,1,0,1,0,0,4,0,0,1,1
LNK,11,3,5,6,0,0,9,1,1,4,7
LNY,2,0,1,0,0,0,1,1,0,0,3
LRD,1,1,1,10,0,0,4,0,0,0,2
LSE,11,2,1,12,0,0,14,0,2,1,11
LWB,0,1,1,0,0,0,3,0,0,0,1
LWS,2,1,1,7,0,0,4,0,1,3,3
LYH,2,2,2,3,0,0,1,0,0,0,2
MAF,11,0,7,5,0,1,7,0,0,3,7
MAZ,0,0,0,1,0,0,0,0,0,0,0
MBL,0,0,0,1,0,0,0,0,0,0,0
MBS,10,2,2,14,0,0,13,1,0,4,3
MCI,49,7,19,43,3,0,71,1,2,10,46
MCN,0,0,2,1,0,0,0,0,0,0,1
MCO,812,197,484,1412,60,36,1048,87,38,169,665
MCW,1,0,0,0,0,0,0,0,0,0,1
MDT,22,7,19,20,0,2,30,7,2,9,13
MDW,189,45,113,332,13,5,277,20,9,47,185
MEI,0,0,0,1,1,0,0,0,0,0,0
MEM,96,19,59,140,4,2,118,8,3,43,95
MFE,11,0,6,15,0,0,10,0,0,4,6
MFR,18,4,12,25,2,2,16,1,1,9,14
MGM,7,3,6,14,0,0,8,0,0,1,6
MGW,0,0,0,0,0,0,1,0,0,0,1
MHK,2,0,2,6,0,0,2,0,0,0,2
MHT,67,13,27,72,7,3,107,10,6,19,49
MIA,762,228,420,1294,112,14,986,100,36,226,910
MKE,70,16,60,118,8,3,112,9,7,25,65
MKG,1,0,1,2,0,0,0,0,0,0,4
MKK,1,0,0,2,0,0,3,0,0,0,1
MKL,1,0,0,0,0,0,0,0,0,0,0
MLB,2,3,4,5,1,0,10,0,0,1,2
MLI,11,0,13,17,0,2,18,0,1,2,11
MLU,9,3,2,1,0,0,10,1,2,0,4
MMH,3,0,5,0,0,0,1,3,0,0,1
