date	Approve	Settle	Deny
0	8.82	11.76	79.41
1	40.0	0.0	60.0
2	46.88	3.13	50.0
3	64.0	0.0	36.0
4	58.62	0.86	40.52
5	60.0	0.42	39.58
6	60.42	0.69	38.89
7	63.78	0.46	35.76
8	64.64	0.74	34.62
9	63.58	0.0	36.42
10	60.77	0.81	38.42
11	54.9	0.49	44.61
12	58.42	1.49	40.09
13	58.05	3.9	38.05
14	61.46	2.66	35.88
15	54.52	3.23	42.26
16	55.16	2.38	42.46
17	53.93	2.25	43.82
18	50.63	5.86	43.51
19	57.48	5.98	36.54
20	53.35	5.26	41.38
21	60.86	5.28	33.86
22	50.56	6.67	42.78
23	55.23	6.98	37.79
24	54.15	8.3	37.55
25	50.38	8.84	40.78
26	44.86	11.21	43.93
27	52.43	7.03	40.54
28	50.35	9.09	40.56
29	52.13	6.03	41.84
30	46.61	10.88	42.51
31	54.45	8.38	37.17
32	48.13	10.94	40.94
33	48.36	7.38	44.26
34	44.3	13.29	42.41
35	47.97	9.55	42.48
36	53.28	6.57	40.15
37	50.0	7.25	42.75
38	46.02	8.85	45.13
39	48.59	9.24	42.17
40	41.59	18.45	39.97
41	44.07	12.71	43.22
42	37.5	15.63	46.88
43	45.51	8.43	46.07
44	56.72	11.19	32.09
45	48.92	11.56	39.52
46	46.46	17.17	36.36
47	46.05	10.53	43.42
48	45.99	14.44	39.57
49	42.53	10.73	46.74
50	42.99	16.62	40.38
51	37.14	17.14	45.71
52	42.94	19.63	37.42
53	40.12	14.81	45.06
54	49.04	14.65	36.31
55	42.68	15.45	41.87
56	32.38	18.1	49.52
57	38.0	13.0	49.0
58	41.28	13.76	44.95
59	43.75	15.63	40.63
60	39.97	19.11	40.92
61	36.11	19.44	44.44
62	28.45	19.83	51.72
63	43.38	21.32	35.29
64	39.46	20.54	40.0
65	43.9	17.73	38.37
66	37.5	13.75	48.75
67	27.37	25.26	47.37
68	43.41	20.16	36.43
69	38.08	17.15	44.77
70	33.25	22.17	44.58
