claim_amount	Approve	Settle	Deny
398	7	8	26
399	16	45	121
400	69	187	472
401	0	10	11
402	3	10	11
403	2	9	15
404	1	11	17
405	2	12	24
406	4	4	13
407	2	3	19
408	5	10	14
409	3	14	22
410	6	12	40
411	0	6	16
412	0	7	10
413	1	6	14
414	5	8	14
415	5	6	17
416	1	13	12
417	2	9	19
418	1	8	14
419	4	11	23
420	12	14	42
421	4	9	11
422	2	11	19
423	3	8	17
424	2	13	20
425	12	26	54
426	2	7	19
427	2	10	18
428	3	10	15
429	8	10	24
430	6	22	52
431	2	8	11
432	3	10	28
433	3	5	13
434	2	13	30
435	3	9	34
436	1	6	15
437	2	8	10
438	2	3	11
439	1	16	23
440	5	10	42
441	1	5	14
442	2	2	12
443	3	6	16
444	3	9	16
445	2	10	28
446	2	6	13
447	0	9	9
448	2	6	18
449	4	21	31
450	26	109	261
451	1	2	13
452	3	1	16
453	2	5	11
454	0	8	11
455	2	4	29
456	2	3	12
457	2	8	12
458	0	4	15
459	2	10	22
460	7	14	47
461	4	6	9
462	4	8	10
463	2	3	16
464	1	6	10
465	2	3	16
466	2	7	6
467	2	6	8
468	1	8	14
469	2	12	22
470	9	16	40
471	2	3	13
472	0	6	14
473	2	9	13
474	0	8	16
475	5	24	38
476	2	7	16
477	0	7	8
478	1	5	14
479	6	11	24
480	5	17	56
481	4	4	15
482	1	5	7
483	1	3	18
484	3	4	14
485	3	12	24
486	0	5	11
487	2	7	15
488	2	4	9
489	3	15	32
490	6	13	25
491	1	1	10
492	0	6	14
493	3	7	6
494	0	7	11
495	4	11	31
496	0	5	7
497	1	7	12
498	4	7	19
499	10	29	80
500	58	197	647
501	1	4	7
502	0	3	9
503	0	4	12
504	2	5	14
505	1	11	20
506	0	9	10
507	1	7	14
508	1	5	21
509	0	9	12
510	6	8	34
511	1	4	10
512	5	7	10
513	1	5	7
514	3	6	20
515	4	9	20
516	1	5	10
517	1	7	10
518	3	4	18
519	6	8	16
520	4	7	39
521	2	3	15
522	1	7	11
